x,y,z,C,R,G,B
-6.73,-4.46,0.89,1,170.2,191.9,24.8
-6.77,-4.84,0.84,1,170.2,191.9,24.8
-5.91,-4.55,0.41,1,170.2,191.9,24.8
-5.45,-4.52,0.32,1,170.2,191.9,24.8
-5.65,-3.73,0.25,1,170.2,191.9,24.8
-5.31,-3.79,0.18,1,170.2,191.9,24.8
-5.11,-3.94,0.12,1,170.2,191.9,24.8
-5.51,-3.64,0.00,1,170.2,191.9,24.8
-5.26,-3.75,-0.06,1,170.2,191.9,24.8
-5.11,-3.94,-0.12,1,170.2,191.9,24.8
-5.48,-3.61,-0.24,1,170.2,191.9,24.8
-5.31,-3.79,-0.30,1,170.2,191.9,24.8
-5.45,-3.59,-0.47,1,170.2,191.9,24.8
-6.61,-4.34,0.87,1,170.2,191.9,24.8
-5.88,-4.51,0.41,1,170.2,191.9,24.8
-5.44,-4.49,0.32,1,170.2,191.9,24.8
-5.67,-3.72,0.25,1,170.2,191.9,24.8
-5.32,-3.77,0.18,1,170.2,191.9,24.8
-5.84,-3.83,0.00,1,170.2,191.9,24.8
-5.27,-3.74,-0.06,1,170.2,191.9,24.8
-5.12,-3.92,-0.12,1,170.2,191.9,24.8
-5.50,-3.61,-0.24,1,170.2,191.9,24.8
-5.33,-3.77,-0.30,1,170.2,191.9,24.8
-5.48,-3.58,-0.47,1,170.2,191.9,24.8
-6.68,-4.36,0.88,1,170.2,191.9,24.8
-5.89,-4.49,0.40,1,170.2,191.9,24.8
-5.42,-4.45,0.32,1,170.2,191.9,24.8
-5.70,-3.72,0.25,1,170.2,191.9,24.8
-5.32,-3.75,0.18,1,170.2,191.9,24.8
-6.03,-3.93,0.00,1,170.2,191.9,24.8
-5.30,-3.74,-0.06,1,170.2,191.9,24.8
-5.14,-3.91,-0.12,1,170.2,191.9,24.8
-5.51,-3.59,-0.24,1,170.2,191.9,24.8
-5.34,-3.76,-0.30,1,170.2,191.9,24.8
-5.53,-3.60,-0.48,1,170.2,191.9,24.8
-7.25,-4.70,0.64,1,170.2,191.9,24.8
-5.90,-4.46,0.40,1,170.2,191.9,24.8
-5.33,-4.34,0.31,1,170.2,191.9,24.8
-5.72,-3.71,0.25,1,170.2,191.9,24.8
-5.34,-3.74,0.18,1,170.2,191.9,24.8
-6.04,-3.91,0.00,1,170.2,191.9,24.8
-5.33,-3.73,-0.06,1,170.2,191.9,24.8
-5.16,-3.89,-0.12,1,170.2,191.9,24.8
-5.54,-3.58,-0.24,1,170.2,191.9,24.8
-5.35,-3.74,-0.30,1,170.2,191.9,24.8
-5.54,-3.58,-0.48,1,170.2,191.9,24.8
-6.63,-4.27,0.87,1,170.2,191.9,24.8
-7.23,-4.65,0.63,1,170.2,191.9,24.8
-7.40,-5.16,0.58,1,170.2,191.9,24.8
-5.86,-4.41,0.40,1,170.2,191.9,24.8
-5.41,-4.38,0.31,1,170.2,191.9,24.8
-5.75,-3.70,0.25,1,170.2,191.9,24.8
-5.37,-3.73,0.18,1,170.2,191.9,24.8
-6.05,-3.89,0.00,1,170.2,191.9,24.8
-5.36,-3.73,-0.06,1,170.2,191.9,24.8
-5.16,-3.88,-0.12,1,170.2,191.9,24.8
-5.58,-3.58,-0.24,1,170.2,191.9,24.8
-5.33,-3.70,-0.29,1,170.2,191.9,24.8
-5.65,-3.62,-0.49,1,170.2,191.9,24.8
-5.87,-4.39,0.40,1,170.2,191.9,24.8
-5.38,-4.33,0.31,1,170.2,191.9,24.8
-5.80,-3.71,0.26,1,170.2,191.9,24.8
-5.41,-3.74,0.18,1,170.2,191.9,24.8
-6.09,-3.88,0.00,1,170.2,191.9,24.8
-5.38,-3.72,-0.06,1,170.2,191.9,24.8
-5.18,-3.86,-0.12,1,170.2,191.9,24.8
-5.83,-3.72,-0.25,1,170.2,191.9,24.8
-5.33,-3.68,-0.29,1,170.2,191.9,24.8
-5.70,-3.63,-0.49,1,170.2,191.9,24.8
-5.87,-4.36,0.40,1,170.2,191.9,24.8
-5.42,-4.33,0.31,1,170.2,191.9,24.8
-5.82,-3.69,0.26,1,170.2,191.9,24.8
-5.42,-3.72,0.18,1,170.2,191.9,24.8
-5.16,-3.83,0.12,1,170.2,191.9,24.8
-5.05,-4.04,0.06,1,170.2,191.9,24.8
-6.10,-3.87,0.00,1,170.2,191.9,24.8
-5.39,-3.70,-0.06,1,170.2,191.9,24.8
-5.19,-3.85,-0.12,1,170.2,191.9,24.8
-5.87,-3.72,-0.25,1,170.2,191.9,24.8
-5.37,-3.68,-0.29,1,170.2,191.9,24.8
-5.79,-3.66,-0.50,1,170.2,191.9,24.8
-8.13,-5.13,0.71,1,170.2,191.9,24.8
-5.87,-4.33,0.40,1,170.2,191.9,24.8
-5.41,-4.30,0.31,1,170.2,191.9,24.8
-5.84,-3.68,0.26,1,170.2,191.9,24.8
-5.44,-3.71,0.18,1,170.2,191.9,24.8
-5.19,-3.82,0.12,1,170.2,191.9,24.8
-5.08,-4.04,0.06,1,170.2,191.9,24.8
-6.01,-3.79,0.00,1,170.2,191.9,24.8
-5.40,-3.68,-0.06,1,170.2,191.9,24.8
-5.19,-3.83,-0.12,1,170.2,191.9,24.8
-5.86,-3.69,-0.25,1,170.2,191.9,24.8
-5.41,-3.68,-0.30,1,170.2,191.9,24.8
-5.86,-3.68,-0.50,1,170.2,191.9,24.8
-7.03,-4.77,0.55,1,170.2,191.9,24.8
-5.86,-4.29,0.40,1,170.2,191.9,24.8
-5.36,-4.23,0.31,1,170.2,191.9,24.8
-5.90,-3.69,0.26,1,170.2,191.9,24.8
-5.50,-3.73,0.18,1,170.2,191.9,24.8
-5.25,-3.84,0.12,1,170.2,191.9,24.8
-5.10,-4.03,0.06,1,170.2,191.9,24.8
-6.02,-3.77,0.00,1,170.2,191.9,24.8
-5.39,-3.65,-0.06,1,170.2,191.9,24.8
-5.19,-3.80,-0.12,1,170.2,191.9,24.8
-5.87,-3.67,-0.25,1,170.2,191.9,24.8
-5.42,-3.67,-0.30,1,170.2,191.9,24.8
-5.83,-3.64,-0.50,1,170.2,191.9,24.8
-8.14,-5.07,0.71,1,170.2,191.9,24.8
-6.96,-4.69,0.54,1,170.2,191.9,24.8
-5.85,-4.26,0.40,1,170.2,191.9,24.8
-5.36,-4.20,0.31,1,170.2,191.9,24.8
-5.92,-3.68,0.26,1,170.2,191.9,24.8
-5.51,-3.71,0.18,1,170.2,191.9,24.8
-5.27,-3.83,0.12,1,170.2,191.9,24.8
-5.12,-4.02,0.06,1,170.2,191.9,24.8
-6.08,-3.78,0.00,1,170.2,191.9,24.8
-5.40,-3.63,-0.06,1,170.2,191.9,24.8
-5.20,-3.78,-0.12,1,170.2,191.9,24.8
-5.93,-3.68,-0.25,1,170.2,191.9,24.8
-5.44,-3.66,-0.30,1,170.2,191.9,24.8
-5.93,-3.68,-0.51,1,170.2,191.9,24.8
-7.40,-4.96,0.90,1,170.2,191.9,24.8
-8.19,-5.06,0.71,1,170.2,191.9,24.8
-7.00,-4.69,0.54,1,170.2,191.9,24.8
-5.82,-4.21,0.39,1,170.2,191.9,24.8
-5.93,-3.66,0.26,1,170.2,191.9,24.8
-5.29,-3.82,0.12,1,170.2,191.9,24.8
-6.09,-3.76,0.00,1,170.2,191.9,24.8
-5.46,-3.65,-0.06,1,170.2,191.9,24.8
-5.21,-3.76,-0.12,1,170.2,191.9,24.8
-5.97,-3.68,-0.25,1,170.2,191.9,24.8
-5.45,-3.64,-0.30,1,170.2,191.9,24.8
-5.99,-3.69,-0.51,1,170.2,191.9,24.8
-8.18,-5.02,0.71,1,170.2,191.9,24.8
-5.78,-4.16,0.39,1,170.2,191.9,24.8
-5.96,-3.66,0.26,1,170.2,191.9,24.8
-5.58,-3.71,0.18,1,170.2,191.9,24.8
-5.29,-3.80,0.12,1,170.2,191.9,24.8
-6.09,-3.73,0.00,1,170.2,191.9,24.8
-5.56,-3.69,-0.06,1,170.2,191.9,24.8
-5.23,-3.75,-0.12,1,170.2,191.9,24.8
-5.98,-3.66,-0.25,1,170.2,191.9,24.8
-5.46,-3.62,-0.30,1,170.2,191.9,24.8
-6.02,-3.68,-0.51,1,170.2,191.9,24.8
-5.46,-3.62,-0.54,1,170.2,191.9,24.8
-5.82,-4.16,0.39,1,170.2,191.9,24.8
-5.37,-4.13,0.31,1,170.2,191.9,24.8
-6.00,-3.65,0.26,1,170.2,191.9,24.8
-5.61,-3.70,0.19,1,170.2,191.9,24.8
-5.30,-3.78,0.12,1,170.2,191.9,24.8
-5.14,-3.96,0.06,1,170.2,191.9,24.8
-6.09,-3.71,0.00,1,170.2,191.9,24.8
-5.63,-3.71,-0.06,1,170.2,191.9,24.8
-5.25,-3.74,-0.12,1,170.2,191.9,24.8
-6.04,-3.67,-0.25,1,170.2,191.9,24.8
-5.48,-3.61,-0.30,1,170.2,191.9,24.8
-5.30,-3.77,-0.36,1,170.2,191.9,24.8
-6.04,-3.67,-0.51,1,170.2,191.9,24.8
-5.48,-3.61,-0.54,1,170.2,191.9,24.8
-7.58,-4.98,0.91,1,170.2,191.9,24.8
-6.31,-3.82,0.54,1,170.2,191.9,24.8
-5.82,-4.13,0.39,1,170.2,191.9,24.8
-5.39,-4.12,0.31,1,170.2,191.9,24.8
-6.03,-3.65,0.26,1,170.2,191.9,24.8
-5.61,-3.68,0.19,1,170.2,191.9,24.8
-5.31,-3.76,0.12,1,170.2,191.9,24.8
-5.15,-3.94,0.06,1,170.2,191.9,24.8
-6.06,-3.66,0.00,1,170.2,191.9,24.8
-5.64,-3.69,-0.06,1,170.2,191.9,24.8
-5.28,-3.74,-0.12,1,170.2,191.9,24.8
-5.06,-3.87,-0.18,1,170.2,191.9,24.8
-6.06,-3.66,-0.25,1,170.2,191.9,24.8
-5.49,-3.60,-0.30,1,170.2,191.9,24.8
-5.32,-3.77,-0.36,1,170.2,191.9,24.8
-6.05,-3.65,-0.51,1,170.2,191.9,24.8
-5.47,-3.58,-0.54,1,170.2,191.9,24.8
-6.31,-3.79,0.54,1,170.2,191.9,24.8
-5.84,-4.12,0.39,1,170.2,191.9,24.8
-5.39,-4.10,0.31,1,170.2,191.9,24.8
-6.10,-3.67,0.26,1,170.2,191.9,24.8
-5.64,-3.68,0.19,1,170.2,191.9,24.8
-5.32,-3.75,0.12,1,170.2,191.9,24.8
-5.23,-3.98,0.06,1,170.2,191.9,24.8
-6.05,-3.63,0.00,1,170.2,191.9,24.8
-5.66,-3.68,-0.06,1,170.2,191.9,24.8
-5.33,-3.75,-0.12,1,170.2,191.9,24.8
-5.14,-3.90,-0.18,1,170.2,191.9,24.8
-6.13,-3.68,-0.26,1,170.2,191.9,24.8
-5.53,-3.59,-0.30,1,170.2,191.9,24.8
-5.33,-3.75,-0.36,1,170.2,191.9,24.8
-5.54,-3.60,-0.54,1,170.2,191.9,24.8
-6.35,-3.79,0.55,1,170.2,191.9,24.8
-5.81,-4.07,0.39,1,170.2,191.9,24.8
-5.40,-4.08,0.31,1,170.2,191.9,24.8
-6.17,-3.68,0.27,1,170.2,191.9,24.8
-5.67,-3.67,0.19,1,170.2,191.9,24.8
-5.34,-3.74,0.12,1,170.2,191.9,24.8
-6.07,-3.62,0.00,1,170.2,191.9,24.8
-5.67,-3.67,-0.06,1,170.2,191.9,24.8
-5.35,-3.74,-0.12,1,170.2,191.9,24.8
-5.15,-3.89,-0.18,1,170.2,191.9,24.8
-6.16,-3.67,-0.26,1,170.2,191.9,24.8
-5.55,-3.59,-0.30,1,170.2,191.9,24.8
-5.31,-3.71,-0.36,1,170.2,191.9,24.8
-5.55,-3.58,-0.54,1,170.2,191.9,24.8
-6.37,-3.77,0.55,1,170.2,191.9,24.8
-5.83,-4.06,0.39,1,170.2,191.9,24.8
-5.41,-4.06,0.31,1,170.2,191.9,24.8
-6.20,-3.67,0.27,1,170.2,191.9,24.8
-5.70,-3.66,0.19,1,170.2,191.9,24.8
-5.37,-3.73,0.12,1,170.2,191.9,24.8
-6.10,-3.61,0.00,1,170.2,191.9,24.8
-5.71,-3.66,-0.06,1,170.2,191.9,24.8
-5.36,-3.72,-0.12,1,170.2,191.9,24.8
-5.17,-3.87,-0.18,1,170.2,191.9,24.8
-6.19,-3.66,-0.26,1,170.2,191.9,24.8
-5.60,-3.59,-0.30,1,170.2,191.9,24.8
-5.35,-3.71,-0.36,1,170.2,191.9,24.8
-5.58,-3.57,-0.54,1,170.2,191.9,24.8
-7.77,-4.97,0.93,1,170.2,191.9,24.8
-6.38,-3.76,0.55,1,170.2,191.9,24.8
-5.81,-4.02,0.39,1,170.2,191.9,24.8
-6.22,-3.66,0.27,1,170.2,191.9,24.8
-5.72,-3.65,0.19,1,170.2,191.9,24.8
-5.38,-3.71,0.12,1,170.2,191.9,24.8
-6.12,-3.60,0.00,1,170.2,191.9,24.8
-5.70,-3.64,-0.06,1,170.2,191.9,24.8
-5.37,-3.71,-0.12,1,170.2,191.9,24.8
-5.18,-3.86,-0.18,1,170.2,191.9,24.8
-6.17,-3.62,-0.26,1,170.2,191.9,24.8
-5.65,-3.60,-0.30,1,170.2,191.9,24.8
-5.36,-3.70,-0.36,1,170.2,191.9,24.8
-6.58,-3.85,0.84,1,170.2,191.9,24.8
-7.67,-4.87,0.91,1,170.2,191.9,24.8
-6.37,-3.73,0.54,1,170.2,191.9,24.8
-5.83,-4.00,0.39,1,170.2,191.9,24.8
-5.38,-3.99,0.30,1,170.2,191.9,24.8
-6.26,-3.65,0.27,1,170.2,191.9,24.8
-5.77,-3.66,0.19,1,170.2,191.9,24.8
-5.41,-3.72,0.12,1,170.2,191.9,24.8
-5.16,-3.83,0.06,1,170.2,191.9,24.8
-6.18,-3.61,0.00,1,170.2,191.9,24.8
-5.71,-3.61,-0.06,1,170.2,191.9,24.8
-5.37,-3.68,-0.12,1,170.2,191.9,24.8
-5.19,-3.84,-0.18,1,170.2,191.9,24.8
-6.19,-3.61,-0.26,1,170.2,191.9,24.8
-5.77,-3.65,-0.31,1,170.2,191.9,24.8
-5.41,-3.71,-0.36,1,170.2,191.9,24.8
-6.68,-3.88,0.85,1,170.2,191.9,24.8
-7.97,-5.03,0.95,1,170.2,191.9,24.8
-6.37,-3.70,0.54,1,170.2,191.9,24.8
-6.30,-3.97,0.48,1,170.2,191.9,24.8
-5.83,-3.98,0.39,1,170.2,191.9,24.8
-5.43,-4.00,0.30,1,170.2,191.9,24.8
-6.31,-3.66,0.27,1,170.2,191.9,24.8
-5.80,-3.65,0.19,1,170.2,191.9,24.8
-5.41,-3.69,0.12,1,170.2,191.9,24.8
-5.19,-3.82,0.06,1,170.2,191.9,24.8
-6.25,-3.62,0.00,1,170.2,191.9,24.8
-5.75,-3.62,-0.06,1,170.2,191.9,24.8
-5.39,-3.67,-0.12,1,170.2,191.9,24.8
-5.20,-3.82,-0.18,1,170.2,191.9,24.8
-6.26,-3.63,-0.26,1,170.2,191.9,24.8
-5.79,-3.64,-0.31,1,170.2,191.9,24.8
-5.40,-3.68,-0.36,1,170.2,191.9,24.8
-6.69,-3.86,0.85,1,170.2,191.9,24.8
-7.84,-4.91,0.93,1,170.2,191.9,24.8
-6.43,-3.70,0.55,1,170.2,191.9,24.8
-6.32,-3.96,0.48,1,170.2,191.9,24.8
-5.83,-3.95,0.38,1,170.2,191.9,24.8
-5.45,-3.99,0.31,1,170.2,191.9,24.8
-6.34,-3.65,0.27,1,170.2,191.9,24.8
-5.81,-3.64,0.19,1,170.2,191.9,24.8
-5.44,-3.68,0.12,1,170.2,191.9,24.8
-5.25,-3.84,0.06,1,170.2,191.9,24.8
-6.31,-3.63,0.00,1,170.2,191.9,24.8
-5.81,-3.63,-0.06,1,170.2,191.9,24.8
-5.42,-3.66,-0.12,1,170.2,191.9,24.8
-5.20,-3.80,-0.18,1,170.2,191.9,24.8
-6.37,-3.66,-0.26,1,170.2,191.9,24.8
-5.83,-3.64,-0.31,1,170.2,191.9,24.8
-5.44,-3.68,-0.36,1,170.2,191.9,24.8
-6.72,-3.85,0.86,1,170.2,191.9,24.8
-7.86,-4.89,0.93,1,170.2,191.9,24.8
-6.32,-3.93,0.48,1,170.2,191.9,24.8
-5.86,-3.94,0.39,1,170.2,191.9,24.8
-5.46,-3.97,0.31,1,170.2,191.9,24.8
-6.37,-3.64,0.27,1,170.2,191.9,24.8
-5.89,-3.66,0.19,1,170.2,191.9,24.8
-5.48,-3.68,0.12,1,170.2,191.9,24.8
-5.27,-3.83,0.06,1,170.2,191.9,24.8
-6.35,-3.63,0.00,1,170.2,191.9,24.8
-5.97,-3.70,-0.06,1,170.2,191.9,24.8
-5.48,-3.68,-0.12,1,170.2,191.9,24.8
-5.21,-3.78,-0.18,1,170.2,191.9,24.8
-6.43,-3.67,-0.27,1,170.2,191.9,24.8
-6.03,-3.74,-0.32,1,170.2,191.9,24.8
-5.45,-3.66,-0.36,1,170.2,191.9,24.8
-6.76,-3.84,0.86,1,170.2,191.9,24.8
-8.09,-5.00,0.96,1,170.2,191.9,24.8
-6.41,-3.64,0.54,1,170.2,191.9,24.8
-5.87,-3.92,0.39,1,170.2,191.9,24.8
-6.39,-3.63,0.27,1,170.2,191.9,24.8
-5.94,-3.67,0.19,1,170.2,191.9,24.8
-5.28,-3.81,0.06,1,170.2,191.9,24.8
-6.40,-3.63,0.01,1,170.2,191.9,24.8
-6.12,-3.77,-0.06,1,170.2,191.9,24.8
-6.45,-3.66,-0.27,1,170.2,191.9,24.8
-6.04,-3.72,-0.32,1,170.2,191.9,24.8
-6.80,-3.84,0.86,1,170.2,191.9,24.8
-8.07,-4.95,0.95,1,170.2,191.9,24.8
-6.40,-3.61,0.54,1,170.2,191.9,24.8
-6.32,-3.88,0.48,1,170.2,191.9,24.8
-5.88,-3.91,0.39,1,170.2,191.9,24.8
-5.48,-3.94,0.31,1,170.2,191.9,24.8
-6.45,-3.63,0.28,1,170.2,191.9,24.8
-5.99,-3.67,0.19,1,170.2,191.9,24.8
-5.53,-3.67,0.12,1,170.2,191.9,24.8
-5.26,-3.77,0.06,1,170.2,191.9,24.8
-6.42,-3.62,0.01,1,170.2,191.9,24.8
-6.12,-3.75,-0.06,1,170.2,191.9,24.8
-5.52,-3.66,-0.12,1,170.2,191.9,24.8
-5.22,-3.74,-0.18,1,170.2,191.9,24.8
-6.51,-3.66,-0.27,1,170.2,191.9,24.8
-6.04,-3.70,-0.32,1,170.2,191.9,24.8
-5.46,-3.62,-0.36,1,170.2,191.9,24.8
-6.84,-3.83,0.87,1,170.2,191.9,24.8
-8.10,-4.94,0.95,1,170.2,191.9,24.8
-6.40,-3.58,0.54,1,170.2,191.9,24.8
-6.38,-3.89,0.48,1,170.2,191.9,24.8
-5.91,-3.90,0.39,1,170.2,191.9,24.8
-5.51,-3.93,0.31,1,170.2,191.9,24.8
-6.47,-3.62,0.28,1,170.2,191.9,24.8
-6.03,-3.67,0.19,1,170.2,191.9,24.8
-5.54,-3.65,0.12,1,170.2,191.9,24.8
-5.29,-3.77,0.06,1,170.2,191.9,24.8
-6.44,-3.60,0.01,1,170.2,191.9,24.8
-6.12,-3.72,-0.06,1,170.2,191.9,24.8
