x,y,z,C,R,G,B
-17.31,-13.05,2.40,1,37.5,10.3,107.7
-17.21,-13.98,2.23,1,37.5,10.3,107.7
-17.12,-12.90,1.58,1,37.5,10.3,107.7
-17.07,-13.86,1.41,1,37.5,10.3,107.7
-17.39,-13.02,4.87,1,37.5,10.3,107.7
-17.54,-13.13,3.24,1,37.5,10.3,107.7
-17.28,-15.03,2.93,1,37.5,10.3,107.7
-17.33,-12.98,2.39,1,37.5,10.3,107.7
-17.13,-12.82,1.58,1,37.5,10.3,107.7
-17.09,-13.79,1.41,1,37.5,10.3,107.7
-17.36,-12.92,4.85,1,37.5,10.3,107.7
-17.34,-13.93,4.76,1,37.5,10.3,107.7
-17.51,-13.03,4.05,1,37.5,10.3,107.7
-17.59,-13.09,3.24,1,37.5,10.3,107.7
-17.36,-12.92,2.39,1,37.5,10.3,107.7
-17.05,-14.73,2.06,1,37.5,10.3,107.7
-17.15,-12.75,1.58,1,37.5,10.3,107.7
-17.14,-13.75,1.41,1,37.5,10.3,107.7
-17.20,-12.77,0.01,1,37.5,10.3,107.7
-17.44,-12.90,4.86,1,37.5,10.3,107.7
-17.47,-13.94,4.78,1,37.5,10.3,107.7
-17.46,-12.91,4.03,1,37.5,10.3,107.7
-17.38,-12.85,3.19,1,37.5,10.3,107.7
-17.50,-15.04,2.96,1,37.5,10.3,107.7
-17.36,-12.83,2.39,1,37.5,10.3,107.7
-17.09,-12.63,1.57,1,37.5,10.3,107.7
-17.17,-13.68,1.41,1,37.5,10.3,107.7
-17.30,-12.77,0.80,1,37.5,10.3,107.7
-17.23,-12.71,0.01,1,37.5,10.3,107.7
-17.36,-12.74,6.58,1,37.5,10.3,107.7
-17.42,-12.79,5.70,1,37.5,10.3,107.7
-17.42,-12.80,4.85,1,37.5,10.3,107.7
-17.24,-14.75,4.62,1,37.5,10.3,107.7
-17.34,-12.74,3.99,1,37.5,10.3,107.7
-17.36,-12.76,3.18,1,37.5,10.3,107.7
-17.35,-12.75,2.38,1,37.5,10.3,107.7
-17.09,-14.59,2.05,1,37.5,10.3,107.7
-17.10,-12.55,1.56,1,37.5,10.3,107.7
-17.16,-13.59,1.40,1,37.5,10.3,107.7
-17.29,-12.68,0.80,1,37.5,10.3,107.7
-17.25,-12.65,0.01,1,37.5,10.3,107.7
-17.46,-12.73,6.60,1,37.5,10.3,107.7
-17.38,-12.68,5.68,1,37.5,10.3,107.7
-17.44,-12.73,4.84,1,37.5,10.3,107.7
-17.36,-12.67,3.99,1,37.5,10.3,107.7
-17.40,-12.70,3.18,1,37.5,10.3,107.7
-17.36,-12.67,2.38,1,37.5,10.3,107.7
-17.21,-13.54,2.20,1,37.5,10.3,107.7
-17.15,-14.54,2.05,1,37.5,10.3,107.7
-17.10,-12.47,1.56,1,37.5,10.3,107.7
-17.16,-13.50,1.40,1,37.5,10.3,107.7
-17.01,-14.41,1.22,1,37.5,10.3,107.7
-17.29,-12.60,0.80,1,37.5,10.3,107.7
-17.30,-12.60,0.01,1,37.5,10.3,107.7
-17.39,-12.60,6.56,1,37.5,10.3,107.7
-17.43,-12.63,5.68,1,37.5,10.3,107.7
-17.43,-12.64,4.83,1,37.5,10.3,107.7
-17.39,-13.62,4.72,1,37.5,10.3,107.7
-17.35,-12.58,3.98,1,37.5,10.3,107.7
-17.38,-12.61,3.17,1,37.5,10.3,107.7
-17.32,-12.56,2.37,1,37.5,10.3,107.7
-17.12,-13.39,2.19,1,37.5,10.3,107.7
-17.18,-14.48,2.05,1,37.5,10.3,107.7
-17.19,-12.46,1.57,1,37.5,10.3,107.7
-17.09,-13.36,1.39,1,37.5,10.3,107.7
-17.09,-14.39,1.22,1,37.5,10.3,107.7
-17.30,-12.53,0.79,1,37.5,10.3,107.7
-17.33,-12.54,0.01,1,37.5,10.3,107.7
-17.53,-12.61,6.60,1,37.5,10.3,107.7
-17.40,-12.53,5.66,1,37.5,10.3,107.7
-17.41,-12.55,4.81,1,37.5,10.3,107.7
-17.42,-13.56,4.72,1,37.5,10.3,107.7
-17.38,-12.52,3.98,1,37.5,10.3,107.7
-17.35,-12.50,3.16,1,37.5,10.3,107.7
-17.35,-12.50,2.37,1,37.5,10.3,107.7
-17.08,-13.28,2.18,1,37.5,10.3,107.7
-17.18,-14.39,2.04,1,37.5,10.3,107.7
-17.17,-12.36,1.56,1,37.5,10.3,107.7
-17.05,-13.25,1.39,1,37.5,10.3,107.7
-17.12,-14.33,1.22,1,37.5,10.3,107.7
-17.33,-12.47,0.79,1,37.5,10.3,107.7
-17.30,-12.44,0.01,1,37.5,10.3,107.7
-17.42,-12.46,5.65,1,37.5,10.3,107.7
-17.38,-12.45,4.79,1,37.5,10.3,107.7
-17.43,-13.48,4.71,1,37.5,10.3,107.7
-17.37,-14.49,4.60,1,37.5,10.3,107.7
-17.37,-12.44,3.97,1,37.5,10.3,107.7
-17.38,-12.44,3.16,1,37.5,10.3,107.7
-17.26,-15.47,2.75,1,37.5,10.3,107.7
-17.38,-12.45,2.36,1,37.5,10.3,107.7
-17.18,-13.27,2.19,1,37.5,10.3,107.7
-17.09,-14.23,2.03,1,37.5,10.3,107.7
-17.12,-12.24,1.55,1,37.5,10.3,107.7
-17.03,-13.15,1.38,1,37.5,10.3,107.7
-17.12,-14.24,1.22,1,37.5,10.3,107.7
-17.35,-12.41,0.79,1,37.5,10.3,107.7
-17.34,-12.38,0.01,1,37.5,10.3,107.7
-17.47,-12.41,6.55,1,37.5,10.3,107.7
-17.45,-12.41,5.65,1,37.5,10.3,107.7
-17.40,-12.38,4.79,1,37.5,10.3,107.7
-17.27,-14.32,4.57,1,37.5,10.3,107.7
-17.36,-12.35,3.95,1,37.5,10.3,107.7
-17.37,-12.35,3.15,1,37.5,10.3,107.7
-17.27,-13.26,3.00,1,37.5,10.3,107.7
-17.40,-12.38,2.36,1,37.5,10.3,107.7
-17.12,-13.14,2.17,1,37.5,10.3,107.7
-17.13,-14.17,2.03,1,37.5,10.3,107.7
-17.18,-12.21,1.56,1,37.5,10.3,107.7
-17.07,-13.09,1.38,1,37.5,10.3,107.7
-17.14,-14.17,1.22,1,37.5,10.3,107.7
-17.27,-12.27,0.79,1,37.5,10.3,107.7
-17.30,-12.28,0.01,1,37.5,10.3,107.7
-17.40,-12.28,6.51,1,37.5,10.3,107.7
-17.40,-12.29,5.62,1,37.5,10.3,107.7
-17.35,-12.26,4.76,1,37.5,10.3,107.7
-17.49,-13.36,4.70,1,37.5,10.3,107.7
-17.41,-12.30,3.96,1,37.5,10.3,107.7
-17.46,-13.33,3.85,1,37.5,10.3,107.7
-17.38,-12.28,3.14,1,37.5,10.3,107.7
-17.30,-13.20,3.00,1,37.5,10.3,107.7
-17.38,-12.28,2.35,1,37.5,10.3,107.7
-17.12,-13.05,2.17,1,37.5,10.3,107.7
-17.14,-14.09,2.02,1,37.5,10.3,107.7
-17.00,-15.04,1.86,1,37.5,10.3,107.7
-17.09,-13.03,1.38,1,37.5,10.3,107.7
-17.21,-14.14,1.22,1,37.5,10.3,107.7
-17.32,-12.22,0.79,1,37.5,10.3,107.7
-17.31,-12.21,0.01,1,37.5,10.3,107.7
-17.49,-12.26,6.53,1,37.5,10.3,107.7
-17.44,-12.24,5.62,1,37.5,10.3,107.7
-17.39,-12.21,4.76,1,37.5,10.3,107.7
-17.41,-13.21,4.67,1,37.5,10.3,107.7
-17.39,-12.21,3.94,1,37.5,10.3,107.7
-17.51,-13.29,3.86,1,37.5,10.3,107.7
-17.38,-12.21,3.14,1,37.5,10.3,107.7
-17.34,-13.15,3.00,1,37.5,10.3,107.7
-17.39,-15.30,2.75,1,37.5,10.3,107.7
-17.39,-12.21,2.35,1,37.5,10.3,107.7
-17.08,-12.94,2.16,1,37.5,10.3,107.7
-17.14,-14.00,2.02,1,37.5,10.3,107.7
-17.07,-12.93,1.37,1,37.5,10.3,107.7
-17.07,-13.93,1.20,1,37.5,10.3,107.7
-17.34,-12.16,0.79,1,37.5,10.3,107.7
-17.36,-12.16,0.01,1,37.5,10.3,107.7
-17.46,-12.16,6.50,1,37.5,10.3,107.7
-17.43,-12.15,5.60,1,37.5,10.3,107.7
-17.39,-12.13,4.75,1,37.5,10.3,107.7
-17.37,-13.10,4.65,1,37.5,10.3,107.7
-17.37,-14.14,4.56,1,37.5,10.3,107.7
-17.44,-12.16,3.95,1,37.5,10.3,107.7
-17.50,-13.20,3.85,1,37.5,10.3,107.7
-17.41,-12.15,3.14,1,37.5,10.3,107.7
-17.23,-12.98,2.97,1,37.5,10.3,107.7
-17.39,-12.13,2.35,1,37.5,10.3,107.7
-17.13,-12.90,2.16,1,37.5,10.3,107.7
-17.17,-13.94,2.02,1,37.5,10.3,107.7
-17.07,-14.91,1.85,1,37.5,10.3,107.7
-17.37,-12.10,1.56,1,37.5,10.3,107.7
-17.09,-12.87,1.37,1,37.5,10.3,107.7
-17.07,-13.85,1.20,1,37.5,10.3,107.7
-17.38,-12.11,0.79,1,37.5,10.3,107.7
-17.39,-12.10,0.01,1,37.5,10.3,107.7
-17.46,-12.09,6.49,1,37.5,10.3,107.7
-17.46,-12.10,5.60,1,37.5,10.3,107.7
-17.45,-12.09,4.76,1,37.5,10.3,107.7
-17.40,-13.04,4.65,1,37.5,10.3,107.7
-17.31,-14.00,4.53,1,37.5,10.3,107.7
-17.47,-12.10,3.94,1,37.5,10.3,107.7
-17.50,-13.11,3.84,1,37.5,10.3,107.7
-17.47,-12.11,3.14,1,37.5,10.3,107.7
-17.29,-12.95,2.98,1,37.5,10.3,107.7
-17.44,-12.09,2.35,1,37.5,10.3,107.7
-17.18,-12.85,2.16,1,37.5,10.3,107.7
-17.20,-13.88,2.02,1,37.5,10.3,107.7
-17.07,-14.82,1.85,1,37.5,10.3,107.7
-17.40,-12.05,1.56,1,37.5,10.3,107.7
-17.07,-12.77,1.37,1,37.5,10.3,107.7
-17.12,-13.80,1.20,1,37.5,10.3,107.7
-17.42,-12.05,0.79,1,37.5,10.3,107.7
-17.38,-12.02,0.01,1,37.5,10.3,107.7
-17.51,-12.04,6.50,1,37.5,10.3,107.7
-17.58,-12.10,5.63,1,37.5,10.3,107.7
-17.30,-13.91,5.39,1,37.5,10.3,107.7
-17.50,-12.05,4.76,1,37.5,10.3,107.7
-17.37,-12.93,4.63,1,37.5,10.3,107.7
-17.43,-14.00,4.55,1,37.5,10.3,107.7
-17.42,-11.99,3.92,1,37.5,10.3,107.7
-17.53,-13.05,3.84,1,37.5,10.3,107.7
-17.43,-12.00,3.13,1,37.5,10.3,107.7
-17.35,-12.91,2.98,1,37.5,10.3,107.7
-17.42,-11.99,2.34,1,37.5,10.3,107.7
-17.17,-12.76,2.15,1,37.5,10.3,107.7
-17.14,-13.74,2.00,1,37.5,10.3,107.7
-17.02,-14.69,1.84,1,37.5,10.3,107.7
-17.43,-11.99,1.56,1,37.5,10.3,107.7
-17.14,-12.73,1.37,1,37.5,10.3,107.7
-17.16,-13.75,1.20,1,37.5,10.3,107.7
-17.41,-11.97,0.79,1,37.5,10.3,107.7
-17.21,-12.77,0.59,1,37.5,10.3,107.7
-17.41,-11.96,0.01,1,37.5,10.3,107.7
-17.21,-12.77,-0.19,1,37.5,10.3,107.7
-17.55,-11.98,6.49,1,37.5,10.3,107.7
-17.27,-13.80,5.37,1,37.5,10.3,107.7
-17.47,-11.95,4.74,1,37.5,10.3,107.7
-17.40,-12.87,4.63,1,37.5,10.3,107.7
-17.32,-13.83,4.51,1,37.5,10.3,107.7
-17.46,-11.94,3.93,1,37.5,10.3,107.7
-17.52,-12.96,3.82,1,37.5,10.3,107.7
-17.47,-11.95,3.13,1,37.5,10.3,107.7
-17.27,-12.76,2.96,1,37.5,10.3,107.7
-17.43,-11.92,2.34,1,37.5,10.3,107.7
-17.14,-12.66,2.14,1,37.5,10.3,107.7
-17.15,-13.66,2.00,1,37.5,10.3,107.7
-17.08,-14.65,1.84,1,37.5,10.3,107.7
-17.42,-11.91,1.56,1,37.5,10.3,107.7
-17.11,-12.63,1.36,1,37.5,10.3,107.7
-17.20,-13.69,1.20,1,37.5,10.3,107.7
-17.39,-11.88,0.78,1,37.5,10.3,107.7
-17.27,-12.73,0.59,1,37.5,10.3,107.7
-17.37,-11.86,0.01,1,37.5,10.3,107.7
-17.24,-12.71,-0.19,1,37.5,10.3,107.7
-17.52,-11.89,6.47,1,37.5,10.3,107.7
-17.33,-12.75,6.32,1,37.5,10.3,107.7
-17.37,-12.77,5.46,1,37.5,10.3,107.7
-17.32,-13.76,5.37,1,37.5,10.3,107.7
-17.50,-11.89,4.74,1,37.5,10.3,107.7
-17.43,-12.81,4.62,1,37.5,10.3,107.7
-17.38,-13.79,4.52,1,37.5,10.3,107.7
-17.52,-11.90,3.93,1,37.5,10.3,107.7
-17.33,-12.74,3.77,1,37.5,10.3,107.7
-17.44,-11.85,3.11,1,37.5,10.3,107.7
-17.32,-12.72,2.96,1,37.5,10.3,107.7
-17.40,-11.82,2.33,1,37.5,10.3,107.7
-17.17,-12.60,2.14,1,37.5,10.3,107.7
-17.14,-13.57,1.99,1,37.5,10.3,107.7
-17.13,-14.60,1.84,1,37.5,10.3,107.7
-17.43,-11.83,1.55,1,37.5,10.3,107.7
-17.09,-12.54,1.36,1,37.5,10.3,107.7
-17.02,-13.47,1.19,1,37.5,10.3,107.7
-17.40,-11.80,0.78,1,37.5,10.3,107.7
-17.28,-12.66,0.59,1,37.5,10.3,107.7
-17.39,-11.79,0.01,1,37.5,10.3,107.7
-17.25,-12.63,-0.19,1,37.5,10.3,107.7
-17.51,-11.81,6.46,1,37.5,10.3,107.7
-17.38,-12.70,6.33,1,37.5,10.3,107.7
-17.35,-12.68,5.44,1,37.5,10.3,107.7
-17.51,-11.82,4.74,1,37.5,10.3,107.7
-17.42,-12.72,4.61,1,37.5,10.3,107.7
-17.41,-13.73,4.51,1,37.5,10.3,107.7
-17.51,-11.82,3.92,1,37.5,10.3,107.7
-17.36,-12.67,3.77,1,37.5,10.3,107.7
-17.49,-11.81,3.12,1,37.5,10.3,107.7
-17.35,-12.66,2.96,1,37.5,10.3,107.7
-17.43,-11.77,2.33,1,37.5,10.3,107.7
-17.15,-12.50,2.14,1,37.5,10.3,107.7
-17.11,-13.46,1.99,1,37.5,10.3,107.7
-17.15,-14.53,1.84,1,37.5,10.3,107.7
-17.43,-11.76,1.55,1,37.5,10.3,107.7
-17.10,-12.47,1.36,1,37.5,10.3,107.7
-17.05,-13.40,1.19,1,37.5,10.3,107.7
-17.41,-11.73,0.78,1,37.5,10.3,107.7
-17.30,-12.59,0.59,1,37.5,10.3,107.7
-17.42,-11.73,0.01,1,37.5,10.3,107.7
-17.27,-12.57,-0.19,1,37.5,10.3,107.7
-17.60,-11.78,6.47,1,37.5,10.3,107.7
-17.41,-12.64,6.32,1,37.5,10.3,107.7
-17.40,-12.63,5.44,1,37.5,10.3,107.7
-17.32,-13.58,5.34,1,37.5,10.3,107.7
-17.54,-11.76,4.73,1,37.5,10.3,107.7
-17.42,-12.64,4.60,1,37.5,10.3,107.7
-17.32,-13.57,4.48,1,37.5,10.3,107.7
-17.46,-11.71,3.90,1,37.5,10.3,107.7
-17.38,-12.61,3.77,1,37.5,10.3,107.7
-17.49,-11.73,3.11,1,37.5,10.3,107.7
-17.36,-12.59,2.96,1,37.5,10.3,107.7
-17.47,-11.71,2.33,1,37.5,10.3,107.7
-17.15,-12.42,2.13,1,37.5,10.3,107.7
-17.17,-13.42,1.99,1,37.5,10.3,107.7
-17.17,-14.45,1.84,1,37.5,10.3,107.7
-17.44,-11.69,1.55,1,37.5,10.3,107.7
-17.12,-12.40,1.36,1,37.5,10.3,107.7
-17.11,-13.37,1.19,1,37.5,10.3,107.7
-17.29,-14.53,1.02,1,37.5,10.3,107.7
-17.40,-11.65,0.78,1,37.5,10.3,107.7
-17.32,-12.53,0.59,1,37.5,10.3,107.7
-17.42,-11.66,0.01,1,37.5,10.3,107.7
-17.28,-12.49,-0.19,1,37.5,10.3,107.7
-17.55,-11.67,6.44,1,37.5,10.3,107.7
-17.44,-12.58,6.32,1,37.5,10.3,107.7
-17.42,-12.56,5.43,1,37.5,10.3,107.7
-17.40,-13.56,5.35,1,37.5,10.3,107.7
-17.36,-14.59,5.27,1,37.5,10.3,107.7
-17.53,-11.67,4.72,1,37.5,10.3,107.7
-17.39,-12.54,4.58,1,37.5,10.3,107.7
-17.36,-13.52,4.48,1,37.5,10.3,107.7
-17.51,-11.66,3.90,1,37.5,10.3,107.7
-17.37,-12.52,3.76,1,37.5,10.3,107.7
-17.50,-11.66,3.11,1,37.5,10.3,107.7
-17.39,-12.52,2.95,1,37.5,10.3,107.7
-17.44,-11.62,2.32,1,37.5,10.3,107.7
-17.15,-12.35,2.13,1,37.5,10.3,107.7
-17.10,-13.28,1.98,1,37.5,10.3,107.7
-17.15,-14.35,1.83,1,37.5,10.3,107.7
-17.44,-11.61,1.55,1,37.5,10.3,107.7
-17.13,-12.33,1.35,1,37.5,10.3,107.7
-17.11,-13.28,1.18,1,37.5,10.3,107.7
-17.29,-14.45,1.02,1,37.5,10.3,107.7
-17.44,-11.60,0.78,1,37.5,10.3,107.7
-17.30,-12.43,0.59,1,37.5,10.3,107.7
-17.45,-11.59,0.01,1,37.5,10.3,107.7
-17.26,-12.40,-0.19,1,37.5,10.3,107.7
-17.49,-11.55,6.41,1,37.5,10.3,107.7
-17.57,-12.59,6.35,1,37.5,10.3,107.7
-17.40,-12.47,5.42,1,37.5,10.3,107.7
-17.37,-13.45,5.33,1,37.5,10.3,107.7
-17.38,-14.52,5.27,1,37.5,10.3,107.7
-17.54,-11.60,4.71,1,37.5,10.3,107.7
-17.42,-12.48,4.58,1,37.5,10.3,107.7
-17.34,-13.42,4.46,1,37.5,10.3,107.7
-17.44,-14.55,4.40,1,37.5,10.3,107.7
-17.49,-11.57,3.89,1,37.5,10.3,107.7
-17.38,-12.45,3.75,1,37.5,10.3,107.7
-17.47,-11.56,3.10,1,37.5,10.3,107.7
-17.39,-12.45,2.95,1,37.5,10.3,107.7
-17.46,-11.56,2.32,1,37.5,10.3,107.7
-17.18,-12.28,2.13,1,37.5,10.3,107.7
-17.19,-13.27,1.98,1,37.5,10.3,107.7
-17.03,-14.16,1.81,1,37.5,10.3,107.7
-17.47,-11.55,1.54,1,37.5,10.3,107.7
-17.12,-12.24,1.35,1,37.5,10.3,107.7
-17.05,-13.15,1.18,1,37.5,10.3,107.7
-17.24,-14.31,1.01,1,37.5,10.3,107.7
-17.46,-11.53,0.78,1,37.5,10.3,107.7
-17.33,-12.38,0.59,1,37.5,10.3,107.7
-17.42,-11.50,0.01,1,37.5,10.3,107.7
-17.29,-12.34,-0.19,1,37.5,10.3,107.7
-17.52,-11.50,6.40,1,37.5,10.3,107.7
-17.46,-12.43,6.30,1,37.5,10.3,107.7
-17.42,-12.41,5.41,1,37.5,10.3,107.7
-17.40,-13.39,5.33,1,37.5,10.3,107.7
-17.37,-14.42,5.25,1,37.5,10.3,107.7
-17.59,-11.56,4.72,1,37.5,10.3,107.7
-17.40,-12.38,4.56,1,37.5,10.3,107.7
-17.46,-13.42,4.48,1,37.5,10.3,107.7
-17.34,-14.37,4.36,1,37.5,10.3,107.7
-17.55,-11.53,3.90,1,37.5,10.3,107.7
-17.39,-12.37,3.74,1,37.5,10.3,107.7
-17.51,-11.51,3.10,1,37.5,10.3,107.7
-17.31,-12.31,2.93,1,37.5,10.3,107.7
-17.29,-13.27,2.79,1,37.5,10.3,107.7
-17.27,-14.28,2.66,1,37.5,10.3,107.7
-17.18,-12.21,2.12,1,37.5,10.3,107.7
-17.17,-13.17,1.97,1,37.5,10.3,107.7
-17.17,-14.18,1.82,1,37.5,10.3,107.7
-17.52,-11.51,1.55,1,37.5,10.3,107.7
-17.15,-12.18,1.35,1,37.5,10.3,107.7
-17.12,-13.12,1.18,1,37.5,10.3,107.7
-17.23,-14.22,1.01,1,37.5,10.3,107.7
-17.50,-11.49,0.78,1,37.5,10.3,107.7
-17.33,-12.29,0.59,1,37.5,10.3,107.7
-17.54,-11.50,0.01,1,37.5,10.3,107.7
-17.30,-12.27,-0.19,1,37.5,10.3,107.7
-17.31,-13.24,-0.40,1,37.5,10.3,107.7
-17.56,-11.45,6.41,1,37.5,10.3,107.7
-17.49,-12.37,6.30,1,37.5,10.3,107.7
-17.42,-12.33,5.40,1,37.5,10.3,107.7
-17.44,-13.34,5.33,1,37.5,10.3,107.7
-17.63,-11.51,4.72,1,37.5,10.3,107.7
-17.40,-12.30,4.55,1,37.5,10.3,107.7
-17.36,-13.26,4.45,1,37.5,10.3,107.7
-17.62,-11.51,3.91,1,37.5,10.3,107.7
-17.41,-12.31,3.74,1,37.5,10.3,107.7
-17.63,-11.51,3.11,1,37.5,10.3,107.7
-17.36,-12.26,2.93,1,37.5,10.3,107.7
-17.33,-13.22,2.79,1,37.5,10.3,107.7
-17.20,-14.13,2.64,1,37.5,10.3,107.7
-17.60,-11.49,2.33,1,37.5,10.3,107.7
-17.13,-13.05,1.97,1,37.5,10.3,107.7
-17.12,-14.06,1.81,1,37.5,10.3,107.7
-17.64,-11.51,1.55,1,37.5,10.3,107.7
-17.15,-13.06,1.18,1,37.5,10.3,107.7
-17.29,-14.18,1.01,1,37.5,10.3,107.7
-17.60,-11.48,0.78,1,37.5,10.3,107.7
-17.33,-12.22,0.58,1,37.5,10.3,107.7
-17.62,-11.48,0.01,1,37.5,10.3,107.7
-17.31,-12.19,-0.19,1,37.5,10.3,107.7
-17.36,-13.19,-0.40,1,37.5,10.3,107.7
-17.51,-11.34,6.37,1,37.5,10.3,107.7
-17.44,-12.26,6.26,1,37.5,10.3,107.7
-17.41,-12.24,5.38,1,37.5,10.3,107.7
-17.45,-13.26,5.32,1,37.5,10.3,107.7
-17.45,-14.31,5.25,1,37.5,10.3,107.7
-17.73,-11.50,4.74,1,37.5,10.3,107.7
-17.34,-12.18,4.53,1,37.5,10.3,107.7
-17.38,-13.20,4.44,1,37.5,10.3,107.7
-17.45,-14.29,4.37,1,37.5,10.3,107.7
-17.70,-11.48,3.92,1,37.5,10.3,107.7
-17.36,-12.19,3.72,1,37.5,10.3,107.7
-17.55,-13.31,3.65,1,37.5,10.3,107.7
-17.74,-11.50,3.12,1,37.5,10.3,107.7
-17.40,-12.21,2.93,1,37.5,10.3,107.7
-17.35,-13.15,2.79,1,37.5,10.3,107.7
-17.38,-14.19,2.66,1,37.5,10.3,107.7
-17.16,-12.99,1.96,1,37.5,10.3,107.7
-17.09,-13.94,1.80,1,37.5,10.3,107.7
-17.69,-11.46,1.56,1,37.5,10.3,107.7
-17.24,-12.09,1.35,1,37.5,10.3,107.7
-17.19,-13.01,1.18,1,37.5,10.3,107.7
-17.27,-14.07,1.01,1,37.5,10.3,107.7
-17.72,-11.48,0.78,1,37.5,10.3,107.7
-17.36,-12.15,0.58,1,37.5,10.3,107.7
-17.68,-11.44,0.01,1,37.5,10.3,107.7
-17.33,-12.13,-0.19,1,37.5,10.3,107.7
-17.39,-13.14,-0.40,1,37.5,10.3,107.7
-17.51,-11.27,6.37,1,37.5,10.3,107.7
-17.46,-12.19,5.39,1,37.5,10.3,107.7
-17.48,-13.20,5.32,1,37.5,10.3,107.7
-17.48,-14.25,5.24,1,37.5,10.3,107.7
-17.81,-11.47,4.75,1,37.5,10.3,107.7
-17.42,-12.16,4.54,1,37.5,10.3,107.7
-17.34,-13.08,4.42,1,37.5,10.3,107.7
-17.27,-14.05,4.31,1,37.5,10.3,107.7
-17.89,-11.53,3.95,1,37.5,10.3,107.7
-17.41,-12.15,3.73,1,37.5,10.3,107.7
-17.53,-13.22,3.64,1,37.5,10.3,107.7
-17.86,-11.51,3.14,1,37.5,10.3,107.7
-17.44,-12.16,2.93,1,37.5,10.3,107.7
-17.38,-13.08,2.79,1,37.5,10.3,107.7
-17.23,-13.98,2.63,1,37.5,10.3,107.7
